timestep,q_value_mean,q_value_std,q_value_max,q_value_min,td_error_mean,td_error_std,loss,exploration_rate,learning_rate,episode_reward_mean,episode_length_mean,success_rate,collision_rate
315000,4.064095973968506,0.35341981053352356,5.077446460723877,2.581150770187378,0.08919312059879303,0.9694454669952393,0.12358593940734863,0.05,0.0002,21.01986029,198.13,0.0,0.0
316000,4.04799222946167,0.43115878105163574,4.942193984985352,2.081322431564331,0.2147960364818573,1.7019964456558228,0.11935586482286453,0.05,0.0002,21.01986029,198.13,0.0,0.0
317000,4.056972503662109,0.4033295214176178,4.771047115325928,2.574772834777832,0.26891911029815674,1.934722900390625,0.11616216599941254,0.05,0.0002,20.521080910000002,211.31,0.0,0.0
318000,4.04976749420166,0.41317009925842285,4.86098051071167,2.028534173965454,0.09234113246202469,0.9775445461273193,0.23199787735939026,0.05,0.0002,20.0439261,224.76,0.0,0.0
319000,4.036289215087891,0.4390923082828522,5.101296424865723,2.0678889751434326,0.1422034502029419,1.8038073778152466,0.34214216470718384,0.05,0.0002,19.596589260000002,220.98,0.0,0.0
320000,4.087217330932617,0.4356921911239624,4.968527317047119,2.167839765548706,0.13495436310768127,1.7255531549453735,0.0008904035203158855,0.05,0.0002,19.12414836,220.31,0.0,0.0
321000,4.066280841827393,0.424561083316803,4.872635364532471,2.2347211837768555,0.08884678781032562,0.9675300121307373,0.0006932232063263655,0.05,0.0002,19.614145380000004,209.92,0.01,0.0
322000,4.070401191711426,0.4161955416202545,4.971592903137207,1.9838674068450928,0.02802545577287674,0.027480583637952805,0.000994548317976296,0.05,0.0002,19.546968559999996,207.14,0.01,0.0
323000,4.084994792938232,0.3902978301048279,4.945432662963867,2.63248872756958,0.09111837297677994,0.9563778042793274,0.23860889673233032,0.05,0.0002,19.57090083,215.16,0.0,0.0
324000,4.079969882965088,0.41274625062942505,4.946038722991943,2.0657618045806885,0.028630603104829788,0.0308378878980875,0.0009249167051166296,0.05,0.0002,19.600350210000002,216.45,0.0,0.01
