timestep,episode,fps,elapsed_time,ep_len_mean,ep_rew_mean,train/loss,train/learning_rate,train/n_updates,rollout/exploration_rate,time/total_timesteps
430000,0,198.59235648935024,2165.239426136017,0,0,0.08824968989938498,0.0002,212498,0.47325122500000005,430000
435000,0,198.29661031983758,2193.683489084244,0,0,0.10916012711822987,0.0002,214998,0.4671262250000001,435000
440000,0,197.8628647465231,2223.7624051570892,0,0,0.08074782183393836,0.0002,217498,0.46100122499999996,440000
445000,0,197.69975623234396,2250.8879549503326,0,0,0.019674126990139484,0.0002,219998,0.45487622500000013,445000
450000,0,197.4110708064975,2279.50741648674,0,0,0.043663570657372475,0.0002,222498,0.448751225,450000
455000,0,197.2029538625158,2307.2676706314087,0,0,0.09349159244447947,0.0002,224998,0.44262622500000015,455000
460000,0,196.84265148459022,2336.8919110298157,0,0,0.011361387092620134,0.0002,227498,0.436501225,460000
465000,0,196.47346439913684,2366.7318201065063,0,0,0.12520428746938705,0.0002,229998,0.43037622500000006,465000
470000,0,196.29055595680222,2394.409642934799,0,0,0.4330136850476265,0.0002,232498,0.424251225,470000
475000,0,195.92992795466165,2424.336113214493,0,0,0.09317570272833109,0.0002,234998,0.4181262250000001,475000
480000,0,195.86399723648412,2450.680098295212,0,0,0.019565942697227,0.0002,237498,0.4120012249999999,480000
485000,0,195.91952727467168,2475.506177186966,0,0,0.16359960287809372,0.0002,239998,0.4058762250000001,485000
490000,0,195.80994988139182,2502.426461458206,0,0,0.09967729263007641,0.0002,242498,0.39975122499999993,490000
495000,0,195.86667006453848,2527.2293639183044,0,0,0.03068198263645172,0.0002,244998,0.3936262250000001,495000
500000,0,195.99031463376343,2551.1464734077454,0,0,0.009511203970760107,0.0002,247498,0.38750122499999995,500000
505000,0,194.26394029271748,2599.5560433864594,0,0,0.17388916015625,0.0002,249998,0.3813762250000001,505000
510000,0,194.5530629384781,2621.392808198929,0,0,0.11576784029603004,0.0002,252498,0.37525122499999997,510000
515000,0,194.6505132711709,2645.767490386963,0,0,0.16616513393819332,0.0002,254998,0.36912622500000003,515000
520000,0,194.83837667355252,2668.8787336349487,0,0,0.03185313381254673,0.0002,257498,0.3630012250000002,520000
525000,0,195.05354458342413,2691.5686209201813,0,0,0.14535538107156754,0.0002,259998,0.35687622500000005,525000
530000,0,195.1115412604359,2716.3949224948883,0,0,0.020714788930490613,0.0002,262498,0.350751225,530000
535000,0,194.8797581595513,2745.282552957535,0,0,0.23725413531064987,0.0002,264998,0.34462622500000006,535000
540000,0,194.95255523266056,2769.9047050476074,0,0,0.13122566509991884,0.0002,267498,0.33850122500000024,540000
545000,0,194.92139480086004,2795.9988720417023,0,0,0.3360750158317387,0.0002,269998,0.3323762250000001,545000
550000,0,195.01160092991793,2820.3450326919556,0,0,0.10184152238070965,0.0002,272498,0.3262512249999999,550000
555000,0,194.98926267744906,2846.3105731010437,0,0,0.21999219059944153,0.0002,274998,0.320126225,555000
